instrument_id,local_symbol,live_symbol
1104,BSS(,SAN
1105,TS(,TELFY
1106,AMS,AMX
1107,CSDC,CX
1108,DIRECT,DTV
1110,SC,SNDK_OLD
1112,FMC,F
1113,LVSC,LVS
1114,LC,LNKD
1115,NO,NOK
1116,PCOS,POT
1117,FSI,FSLR
1118,BHI,BRK.B
1119,WUC,WU
1120,GI,GAP
1121,RLC,RL
1122,HI,HOG
1123,TI,TRIP
1124,EAI,EA
1125,UOI,URBN
1126,ASI,ADBE
1130,MTI,MU
1131,A&FC,ANF
1132,WEM,DEM
1133,AIC,AGNC
1135,OC,ORCL
1138,FC,FDX
1139,NEI,NBL
1140,ABGI,CAR
1141,BI,BIDU
1144,ABI,ATVI
1145,CPST,CHKP
1146,MC,MOS
1147,PI,PETM
1148,KDPI,KDP
1149,CBI,STZ
1150,LI,LMND
1151,CC,CR
1152,FHI,FTRE
1153,TWITTE,TWTR
1154,KDEP,KING
1156,STS,SPOT
1157,DI,DBX
1159,EI,ETSY
1160,WL,WIX
1161,RHP,RYAAY
1162,DTP,DLPH
1164,ACI,ACB
1165,SMC,SMG
1166,TTI,TVRD
1167,ITI,INSY
1169,WPI,WP
1170,ZPI,ZYNE
1171,CPH,CRBP
1172,CGI,CRON
1173,PEG,PEGI
1174,CH,CVA
1176,XIL,XIFR
1177,AC,ALB
1178,ENERSY,ENS.US
1181,BB&,BBBY
1182,TBI,TLRY
1185,LS&C,LEVI
1186,UTI,UBER
1187,BMI,BYND
1189,SMW,SURF.CVR
1191,LAA,LAR
1192,BHL,BIRK
1193,ZPIC,ZYNE.CVR
1194,CIN,CNH.US
1196,AHRI,AHR
1197,FGI,TFG
1198,NAC,NATL
1199,GBIC,GRCL.CVR
1200,SIE.DE_1200,SIE.DE
1203,BA.DE,BAYN.DE
1205,ES.DE,EOAN.DE
1207,DTA.DE,DTE.DE
1209,LA.DE,LNA.DE
1211,BMWA.DE,BMW.DE
1212,MRA.DE,MUV2.DE
1213,RA.DE,RWE.DE
1214,FMC.DE,FME.DE
1215,AA.DE,ADS.DE
1216,DPA.DE,DHL.DE
1217,FS&.DE,FRE.DE
1218,HA&.DE,HEN3.DE
1219,DBA.DE,DB1.DE
1220,TA.DE,TKA.DE
1221,ITA.DE,IFX.DE
1222,KA.DE,SDF.DE
1223,CA.DE,CBK.DE
1224,MK.DE,MRK.DE_old
1225,BA.DE_1225,BEI.DE
1226,HMA.DE,HEI.DE
1227,DLA.DE,LHA.DE
1228,CA.DE_1228,CON.DE
1229,LA.DE_1229,LXSd.DE
1230,HBA.DE,BOSSd.DE
1231,AS.PA,AC.PA
1232,CAS.PA,ACA.PA
1233,ALS.PA,AI.PA
1234,AS.PA_1234,AIR.PA
1235,AS.PA_1235,ALO.PA
1236,ALCATE,ALU.PA
1237,DS.PA,BN.PA
1238,BPS.PA,BNP.PA
1239,CS.PA,CA.PA
1240,CS.PA_1240,CAP.PA
1241,AG.PA,CS.PA
1242,VS.PA,DG.PA
1243,EDFS.PA,EDF.PA_old
1244,ES.PA,EL.PA
1245,BS.PA,EN.PA
1247,VS.PA_1247,FR.PA
1248,SGG.PA,GLE.PA
1249,ES.PA_1249,ENGI.PA
1250,KS.PA,KER.PA
1251,LS.PA,LG.PA
1252,LS.PA_1252,LR.PA
1254,CGD.PA,ML.PA
1255,ARCELO,MTS.MC
1256,LS.PA_1256,OR.PA
1257,ORANGE,ORA.PA
1258,PG.PA,PUB.PA
1259,PS.PA,RI.PA
1260,RENAUL,RNO.PA
1261,SAFRAN,SAF.PA
1262,SANOFI,SAN.PA
1263,CDSS.PA,SGO.PA
1264,SOLVAY,SOLB.BR
1265,SES.PA,SU.PA
1266,TS.PA,TEC.PA
1267,PS.PA_1267,UG.PA
1268,UR.PA,UL.PA
1269,VES.PA,VIE.PA
1270,VIVEND,VIV.PA
1271,AG.MI,A2A.MI
1272,AUTOGR,AGL.MI
1273,AD.MI,ATL.MI
1274,AH.MI,AZM.MI
1275,MBG.MI,BMPS-old
1276,BPS.MI,BP.MI
1277,BB.MI,BPE.MI
1278,BS.MI,BZU.MI
1279,CIG.MI,CNHI.MI
1280,DC-.MI,CPR.MI
1281,EGC.MI,EGPW.MI
1282,EPC.MI,ENEL.MI
1283,EEC.MI,ENI.MI
1284,EIC.MI,EXO.MI
1285,SN.MI,STLAM.MI
1286,LS.MI,LDO.MI
1287,AGS.MI,G.MI
1288,ISG.MI,ISP.MI
1289,LG.MI,LUX.MI
1290,MBD.MI,MB.MI
1291,MG.MI,MED.MI
1292,MONCLE,MONC.MI
1293,M-MN.MI,MFEB.MI
1295,BOM.MI,PMI.MI
1296,PG.MI,PRY.MI
1297,SFC.MI,SFER.MI
1298,SO&.MI,SPM_old
1299,SG.MI,SRG.MI
1300,SC.MI,STMMI.MI
1301,ASC.MI,STS.MI
1302,TG.MI,TEN.MI
1303,TIS.MI,TIT.MI
1304,TG.MI_1304,TOD.MI
1305,TS.MI,TRN.MI
1306,UBG.MI,UBI.MI
1307,UCB.MI,UCG.MI
