instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
1000992,SGLLV.ASX,RL.AX_1000992,SGLLV.AX,5,RESCUED (applied)
1001000,SGQ.ASX,SGML.AX,SGQ.AX,5,RESCUED (applied)
1001012,PDI.ASX,PDL.AX,PDI.AX,5,RESCUED (applied)
1001018,WIA.ASX,WGL.AX_1001018,WIA.AX,5,RESCUED (applied)
1001039,SHA.ASX,SAPL.AX,SHA.AX,5,RESCUED (applied)
1001053,IPG.ASX,IGL.AX_1001053,IPG.AX,5,RESCUED (applied)
1001055,GNG.ASX,GESL.AX,GNG.AX,5,RESCUED (applied)
1001058,AIS.ASX,ARL.AX_1001058,AIS.AX,5,RESCUED (applied)
1001080,DTR.ASX,DRL.AX_1001080,DTR.AX,5,RESCUED (applied)
1001097,PWR.ASX,PWA.AX,PWR.AX,5,RESCUED (applied)
1001098,MGH.ASX,MGHL.AX,MGH.AX,5,RESCUED (applied)
1001125,AQZ.ASX,AASL.AX,AQZ.AX,5,RESCUED (applied)
1001144,UNI.ASX,USHL.AX,UNI.AX,5,RESCUED (applied)
1001149,DUR.ASX,DL.AX_1001149,DUR.AX,5,RESCUED (applied)
1001158,MPW.ASX,MPWL.AX,MPW.AX,5,RESCUED (applied)
1001200,SMI.ASX,SML.AX_1001200,SMI.AX,5,RESCUED (applied)
1001210,GYG.ASX,GYGL.AX,GYG.AX,5,RESCUED (applied)
1001221,MEZ.ASX,MEL.AX,MEZ.AX,5,RESCUED (applied)
1001229,EBO.ASX,EGL.AX_1001229,EBO.AX,5,RESCUED (applied)
1001233,TYR.ASX,TPL.AX_1001233,TYR.AX,5,RESCUED (applied)
1001244,GTK.ASX,GGL.AX_1001244,GTK.AX,5,RESCUED (applied)
1001245,OCC.ASX,OL.AX_1001245,OCC.AX,5,RESCUED (applied)
1001262,REG.ASX,RHL.AX_1001262,REG.AX,5,RESCUED (applied)
1001272,CAT.ASX,CSL.AX,CAT.AX,5,RESCUED (applied)
1001274,OML.ASX,OL.AX_1001274,OML.AX,5,RESCUED (applied)
1001280,FID.ASX,FGL.AX,FID.AX,5,RESCUED (applied)
1001286,FPR.ASX,FGL.AX_1001286,FPR.AX,5,RESCUED (applied)
1001291,SLC.ASX,SL.AX_1001291,SLC.AX,5,RESCUED (applied)
1001295,ADH.ASX,AL.AX_1001295,ADH.AX,5,RESCUED (applied)
1001313,BBN.ASX,BBGL.AX,BBN.AX,5,RESCUED (applied)
1001324,IGL.ASX,IGL.AX_1001324,IGL.AX,5,RESCUED (applied)
1001326,EQT.ASX,EHL.AX_1001326,EQT.AX,5,RESCUED (applied)
1001333,IPX.ASX,IL.AX_1001333,IPX.AX,5,RESCUED (applied)
1001346,RAC.ASX,ROL.AX,RAC.AX,5,RESCUED (applied)
1001358,QOR.ASX,QL.AX,QOR.AX,5,RESCUED (applied)
1001380,ASG.ASX,AGL.AX_1001380,ASG.AX,5,RESCUED (applied)
1001381,BVS.ASX,BSL.AX_1001381,BVS.AX,5,RESCUED (applied)
1001385,SM1.ASX,SML.AX_1001385,SM1.AX,5,RESCUED (applied)
1001405,MAF.ASX,MFGL.AX_1001405,MAF.AX,5,RESCUED (applied)
1001414,ELS.ASX,EL.AX_1001414,ELS.AX,5,RESCUED (applied)
1001423,TTT.ASX,TL.AX_1001423,TTT.AX,5,RESCUED (applied)
1001447,PFP.ASX,PFPL.AX,PFP.AX,5,RESCUED (applied)
1001459,WGN.ASX,WHCL.AX,WGN.AX,5,RESCUED (applied)
1001463,BC8.ASX,BCSL.AX,BC8.AX,5,RESCUED (applied)
1001563,MAD.ASX,MGL.AX_1001563,MAD.AX,5,RESCUED (applied)
1001569,LFS.ASX,LGHL.AX,LFS.AX,5,RESCUED (applied)
1001574,3DA.ASX,AI.AX,3DA.AX,5,RESCUED (applied)
1001596,TUA.ASX,TL.AX_1001596,TUA.AX,5,RESCUED (applied)
1001600,4DX.ASX,4L.AX,4DX.AX,5,RESCUED (applied)
1001605,DUG.ASX,DTL.AX,DUG.AX,5,RESCUED (applied)
1001610,ERD.ASX,EL.AX_1001610,ERD.AX,5,RESCUED (applied)
1001639,NXL.ASX,NL.AX_1001639,NXL.AX,5,RESCUED (applied)
1001640,GNP.ASX,GGL.AX_1001640,GNP.AX,5,RESCUED (applied)
1001644,MM8.ASX,MML.AX_1001644,MM8.AX,5,RESCUED (applied)
1001651,LRV.ASX,LRL.AX_1001651,LRV.AX,5,RESCUED (applied)
1001666,C79.ASX,CCL.AX,C79.AX,5,RESCUED (applied)
1001677,POL.ASX,PRL.AX,POL.AX,5,RESCUED (applied)
1001690,ACL.ASX,ACLL.AX,ACL.AX,5,RESCUED (applied)
1001695,PPM.ASX,PML.AX_1001695,PPM.AX,5,RESCUED (applied)
1001696,AYA.ASX,AL.AX_1001696,AYA.AX,5,RESCUED (applied)
1001710,BFL.ASX,BFGL.AX,BFL.AX,5,RESCUED (applied)
1001716,29M.ASX,2L.AX,29M.AX,5,RESCUED (applied)
1001717,MTM.ASX,ML.AX_1001717,MTM.AX,5,RESCUED (applied)
1001739,CU6.ASX,CPL.AX_1001739,CU6.AX,5,RESCUED (applied)
1001753,CBO.ASX,CEOL.AX,CBO.AX,5,RESCUED (applied)
1001760,MI6.ASX,M2L.AX,MI6.AX,5,RESCUED (applied)
1001784,JDO.ASX,JCHL.AX,JDO.AX,5,RESCUED (applied)
1001827,QAL.ASX,QL.AX_1001827,QAL.AX,5,RESCUED (applied)
1001956,BRE.ASX,BREL.AX,BRE.AX,5,RESCUED (applied)
1001967,TEA.ASX,TL.AX_1001967,TEA.AX,5,RESCUED (applied)
1001978,CVL.ASX,CAL.AX,CVL.AX,5,RESCUED (applied)
1001986,SYL.ASX,SGL.AX_1001986,SYL.AX,5,RESCUED (applied)
1001997,GGP.ASX,GRL.AX,GGP.AX,5,RESCUED (applied)
